operational_view_date,user_uuid,customer_city,customer_country,order_uuid,parent_order_uuid,platform,fx_rate_loc_to_usd_fxn,list_price_operational,deal_discount_operational,gross_bookings_operational,margin_1_operational,vfm_operational,incentive_promo_code,last_status,gross_bookings_usd,margin_1_usd,vfm_usd,gross_profit_usd
2021-01-01,ce275c3b-0cdb-459a-ac01-dfe7389e74ba,Barcelona,ES,576150bb-1dbc-4fe2-9ae3-f53b4846cc3a,d359c5be-8005-4464-a077-4d09c8bb665a,web,1.08,158.82,0.0,158.82,51.86,35.74,,unredeemed,171.53,56.01,38.6,94.61
2021-01-04,3fcf4264-7fce-46b7-afdf-6820d227bcc2,Phoenix,US,61b27546-7b5d-4565-a6f8-acacc44ed5e4,61b27546-7b5d-4565-a6f8-acacc44ed5e4,app,1.0,245.15,0.0,245.15,84.28,60.43,,redeemed,245.15,84.28,60.43,144.71
2021-01-04,b91a5a99-3fe9-45e4-98a7-e379f61d7a67,Leeds,GB,f1c866a3-adb3-429f-8c60-2acebdcf526b,f1c866a3-adb3-429f-8c60-2acebdcf526b,app,1.27,193.41,0.0,193.41,68.53,42.41,,expired,245.63,87.03,53.86,140.89
2021-01-05,10f408f6-2fe3-46f2-8cbb-bd006f9ffe9d,Valencia,ES,cdfe33f1-e7ad-4912-a7d5-bc7d5ff904f7,02ee7050-af6b-4680-9694-8ac668db127e,web,1.08,111.17,0.0,111.17,32.84,33.79,,unredeemed,120.06,35.47,36.49,71.96
2021-01-06,7cc09ec4-d19a-4ede-8771-6807bf3a53bd,Birmingham,GB,4ae448a5-2644-44c0-87a0-31396740113e,f016687c-71ce-4930-b075-94ec97b8cb2b,app,1.27,183.69,0.0,183.69,46.21,35.69,,redeemed,233.29,58.69,45.33,104.02
2021-01-07,d53d7df5-30ed-478a-90e2-3ff7729abf4c,Phoenix,US,8beca73c-8f39-4a7d-bfda-0e0e229ef7fe,fb642a83-decc-40fd-9498-92be8c4ebf2b,web,1.0,136.69,0.0,-136.69,-37.42,-26.2,,refunded,-136.69,-37.42,-26.2,-63.62
2021-01-10,8adeed7f-2d91-497e-bf4d-a2c0e5ae18fe,Wroclaw,PL,12fdf271-ef57-4dcd-9e1b-5bc76aff87b6,12fdf271-ef57-4dcd-9e1b-5bc76aff87b6,touch,0.25,35.06,0.0,35.06,12.09,10.83,,redeemed,8.76,3.02,2.71,5.73
2021-01-10,0ce2d188-02e2-4e70-a9d6-98172e0a9631,Leeds,GB,2181ca67-9574-4636-9806-271abd30a17f,2181ca67-9574-4636-9806-271abd30a17f,web,1.27,222.93,0.0,222.93,85.19,43.87,,redeemed,283.12,108.19,55.71,163.9
2021-01-11,2fe6c97c-6001-49b1-9247-354cad0e340e,Rome,IT,bcb055e7-aed5-446e-848e-9d74dad0028d,bcb055e7-aed5-446e-848e-9d74dad0028d,web,1.08,243.48,34.17,209.31,53.58,41.95,PROMO32,redeemed,226.05,57.87,45.31,103.18
2021-01-13,076bde52-d1fa-43bd-8682-f599518d5e13,Los Angeles,US,5203b917-1532-4622-bf47-1bd87d1bd99b,c9fe3dc0-e6cf-40ce-b281-68301df0c9be,web,1.0,267.16,0.0,-267.16,-78.0,-78.08,,refunded,-267.16,-78.0,-78.08,-156.08
