operational_view_date,user_uuid,customer_city,customer_country,order_uuid,parent_order_uuid,platform,fx_rate_loc_to_usd_fxn,list_price_operational,deal_discount_operational,gross_bookings_operational,margin_1_operational,vfm_operational,incentive_promo_code,last_status
2021-01-01,ce275c3b-0cdb-459a-ac01-dfe7389e74ba,Barcelona,ES,576150bb-1dbc-4fe2-9ae3-f53b4846cc3a,d359c5be-8005-4464-a077-4d09c8bb665a,web,1.08,158.82,0.0,158.82,51.86,35.74,,unredeemed
2021-01-04,3fcf4264-7fce-46b7-afdf-6820d227bcc2,Phoenix,US,61b27546-7b5d-4565-a6f8-acacc44ed5e4,61b27546-7b5d-4565-a6f8-acacc44ed5e4,app,1.0,245.15,0.0,245.15,84.28,60.43,,redeemed
2021-01-04,b91a5a99-3fe9-45e4-98a7-e379f61d7a67,Leeds,GB,f1c866a3-adb3-429f-8c60-2acebdcf526b,f1c866a3-adb3-429f-8c60-2acebdcf526b,app,1.27,193.41,0.0,193.41,68.53,42.41,,expired
2021-01-05,10f408f6-2fe3-46f2-8cbb-bd006f9ffe9d,Valencia,ES,cdfe33f1-e7ad-4912-a7d5-bc7d5ff904f7,02ee7050-af6b-4680-9694-8ac668db127e,web,1.08,111.17,0.0,111.17,32.84,33.79,,unredeemed
2021-01-06,7cc09ec4-d19a-4ede-8771-6807bf3a53bd,Birmingham,GB,4ae448a5-2644-44c0-87a0-31396740113e,f016687c-71ce-4930-b075-94ec97b8cb2b,app,1.27,183.69,0.0,183.69,46.21,35.69,,redeemed
2021-01-07,d53d7df5-30ed-478a-90e2-3ff7729abf4c,Phoenix,US,8beca73c-8f39-4a7d-bfda-0e0e229ef7fe,fb642a83-decc-40fd-9498-92be8c4ebf2b,web,1.0,136.69,0.0,-136.69,-37.42,-26.2,,refunded
2021-01-10,8adeed7f-2d91-497e-bf4d-a2c0e5ae18fe,Wroclaw,PL,12fdf271-ef57-4dcd-9e1b-5bc76aff87b6,12fdf271-ef57-4dcd-9e1b-5bc76aff87b6,touch,0.25,35.06,0.0,35.06,12.09,10.83,,redeemed
2021-01-10,0ce2d188-02e2-4e70-a9d6-98172e0a9631,Leeds,GB,2181ca67-9574-4636-9806-271abd30a17f,2181ca67-9574-4636-9806-271abd30a17f,web,1.27,222.93,0.0,222.93,85.19,43.87,,redeemed
2021-01-11,2fe6c97c-6001-49b1-9247-354cad0e340e,Rome,IT,bcb055e7-aed5-446e-848e-9d74dad0028d,bcb055e7-aed5-446e-848e-9d74dad0028d,web,1.08,243.48,34.17,209.31,53.58,41.95,PROMO32,redeemed
2021-01-13,076bde52-d1fa-43bd-8682-f599518d5e13,Los Angeles,US,5203b917-1532-4622-bf47-1bd87d1bd99b,c9fe3dc0-e6cf-40ce-b281-68301df0c9be,web,1.0,267.16,0.0,-267.16,-78.0,-78.08,,refunded
2021-01-18,4140224e-176f-45ac-9f24-ce0e0b0a5a49,Valencia,ES,0ea505c5-1a25-4f66-af52-0616d2af5bcb,0ea505c5-1a25-4f66-af52-0616d2af5bcb,app,1.08,134.57,51.24,83.33,26.94,19.06,PROMO37,redeemed
2021-01-20,120181ee-dfcb-41b9-a746-7a5ab4f0b135,Munich,DE,5670a347-17dd-4a10-aa25-398a82886050,41aa2e97-852f-4c40-8c25-19a2d2296899,web,1.08,89.92,0.0,89.92,24.66,22.91,,unredeemed
2021-01-20,f7b2e974-ed80-436c-80b5-c26dfbc8d656,Los Angeles,US,d668c376-539e-4aa4-abe4-8e80f9032805,d668c376-539e-4aa4-abe4-8e80f9032805,touch,1.0,56.76,0.0,-56.76,-18.46,-12.46,,refunded
2021-01-20,10c786ac-a886-4f80-83da-5b61f5a106ad,Milan,IT,1eeb9b3d-6972-487d-9a21-7d0c5c0435b9,1eeb9b3d-6972-487d-9a21-7d0c5c0435b9,web,1.08,238.14,0.0,238.14,69.81,49.61,,redeemed
